"Name","Rating","Number Of Ratings","Address","Phone Number","Website","Website to Book","Website to Search","Extra Information..."
"b. Resale","4.3","134","2613 Nicollet Ave, Minneapolis, MN 55408","(612) 824-1292","http://bresale.com/","N/A","N/A","Identifies as women-owned"
"Groovy's","4.8","161","4206 Cedar Ave, Minneapolis, MN 55407","(612) 287-5069","N/A","N/A","N/A","N/A"
"Segue Coffee","4.7","311","811 11th Ave S, Minneapolis, MN 55404 | Located in: East Village Apartments","(612) 236-4917","http://www.seguecoffee.com/","N/A","N/A","LGBTQ+ friendly"
"Mill City Farmers Market","4.6","462","750 S 2nd St, Minneapolis, MN 55401","(612) 341-7580","http://www.millcityfarmersmarket.org/","N/A","N/A","LGBTQ+ friendly"
"Move Minneapolis","3.0","3","81 S 9th St, Minneapolis, MN 55402","(612) 337-1967","http://moveminneapolis.org/contact-us/","N/A","N/A","N/A"
"Roseline's Place","4.9","322","2430 Central Ave NE, Minneapolis, MN 55418","(612) 355-6900","http://roselinescandles.com/","N/A","N/A","Identifies as Black-owned","LGBTQ+ friendly","Identifies as women-owned"
"Bryn Mawr Market","4.8","90","412 Cedar Lake Rd S, Minneapolis, MN 55405","(612) 377-6014","N/A","N/A","N/A","N/A"
"Monkey in a Dryer Custom T Shirts","4.8","46","1121 Jackson St NE 131 612-236-4511, Minneapolis, MN 55413 | Located in: Waterbury Building","(612) 236-4511","http://www.monkeyinadryer.com/","N/A","N/A","LGBTQ+ friendly","Identifies as women-owned"
"Deirdre Handcrafted Jewelry & Rock Paper Silver Shop","5.0","17","4816 Nicollet Ave, Minneapolis, MN 55419","(612) 331-2482","https://www.deirdreandcompany.com/","N/A","N/A","Identifies as women-owned"
"Misfit Coffee","4.6","332","207 N Humboldt Ave, Minneapolis, MN 55405","(612) 800-4411","http://misfitcoffee.com/","N/A","N/A","LGBTQ+ friendly"
"Belleweather Boutique","4.9","31","317 W 38th St, Minneapolis, MN 55409","(612) 345-5991","http://www.shopbelleweather.com/","N/A","N/A","N/A"
"findfurnish","4.8","364","2014 Central Ave NE, Minneapolis, MN 55418","(612) 868-8878","http://www.findfurnish.com/","N/A","N/A","LGBTQ+ friendly"
"Moth Oddities","4.5","28","13 5th St NE, Minneapolis, MN 55413","N/A","http://www.mothoddities.com/","N/A","N/A","LGBTQ+ friendly","Identifies as women-owned"
"Cynthia Berg - Small Business Coach","N/A","N/A","N/A","N/A","https://cynthiaberg.net/","N/A","N/A","N/A"
"One Small Business, LLC","5.0","1","11937 Central Ave NE, Minneapolis, MN 55434 | Located in: Raintree Professional Center","(612) 284-4457","N/A","N/A","N/A","N/A"
"TRUE ETHIC","5.0","4","1500 Jackson St NE Suite 238, Minneapolis, MN 55413 | Located in: Northrup King Building","N/A","N/A","N/A","N/A","N/A"
"Tandem Vintage","4.9","73","316 W 38th St, Minneapolis, MN 55409","(517) 214-9134","http://www.tandemvintage.com/","N/A","N/A","N/A"
"Provision & Company","N/A","N/A","13172 Aulden Ave, Rosemount, MN 55068","(612) 360-5510","https://www.provisionandcompany.com/contact","N/A","N/A","N/A"
"Geometrix Co","5.0","5","15124 Business Pkwy, Rosemount, MN 55068","(651) 322-5054","http://www.geometrixco.com/","N/A","N/A","N/A"
"El Dorado Packaging, Inc.","2.6","20","2750 145th St W, Rosemount, MN 55068","(800) 432-2247","http://www.eldoradopackaging.com/","N/A","N/A","N/A"
"Swanson Financial Services, LLC","N/A","N/A","13169 Ayrfield Cir, Rosemount, MN 55068","(612) 991-3063","http://www.swansonfinancialservices.com/contact.html","N/A","N/A","N/A"
"Protolabs","4.1","9","15197 Boulder Ave, Rosemount, MN 55068","(763) 479-3680","http://www.protolabs.com/","N/A","N/A","N/A"
"Walbon & Company, Inc","4.0","4","4230 Pine Bend Trail, Rosemount, MN 55068 | Located in: Sunlight Logistics Inc","(651) 437-2011","N/A","N/A","N/A","N/A"
"Henderson Design LLC","5.0","6","12986 Almeria Trl, Rosemount, MN 55068","(612) 245-1695","http://henderson-design.com/","N/A","N/A","N/A"
"MNX inc","N/A","N/A","3574 Clare Downs Path, Rosemount, MN 55068","(952) 926-7000","http://www.mnxinc.net/contact.html","N/A","N/A","N/A"
"H&R Block","4.4","76","3420 150th St W #121, Rosemount, MN 55068 | Located in: Rosemount Market Square","(651) 423-7000","https://www.hrblock.com/local-tax-offices/minnesota/rosemount/3420-w-150th-st-ste-121/22945","N/A","N/A","N/A"
"Corrigan Electric Co","5.0","1","3065 145th St W, Rosemount, MN 55068","(651) 423-1131","N/A","N/A","N/A","N/A"
"Endres Processing Llc","N/A","N/A","13420 Courthouse Blvd, Rosemount, MN 55068","(651) 438-3113","N/A","N/A","N/A","N/A"
"Curious Cog","N/A","N/A","N/A","(952) 491-0395","https://curiouscog.com/","N/A","N/A","N/A"
"Rosemount Technology LLC","N/A","N/A","13073 Charlston Way, Rosemount, MN 55068","(612) 747-1655","N/A","N/A","N/A","N/A"
"Minnesota Paving and Materials, a CRH Company","N/A","N/A","1010 158th St W, Rosemount, MN 55068","(612) 759-0152","https://www.omgmidwest.com/our-brands/minnesota-paving-and-materials","N/A","N/A","N/A"
"Martin Marietta - Rosemount Asphalt Plant","5.0","2","4000 160th St W, Rosemount, MN 55068","(763) 424-5400","https://www.martinmarietta.com/locations/central/minnesota-asphalt-district/rosemount-asphalt-plant","N/A","N/A","N/A"
"FedEx OnSite","3.4","5","15034 Shannon Pkwy, Rosemount, MN 55068 | Located in: Walgreens","(800) 463-3339","https://local.fedex.com/en-us/mn/rosemount/we1ui","N/A","N/A","N/A"
"UPS Authorized Shipping Provider","4.2","5","14635 S Robert Trail, Rosemount, MN 55068 | Located in: Pellicci Ace Hardware","(651) 344-7377","https://locations.ups.com/us/en/mn/rosemount/authorized-shipping-provider-168500.html?utm_source=google&utm_medium=organic&utm_campaign=rio","N/A","N/A","N/A"
"Noodles and Company","3.2","113","15067 Canada Ave W, Rosemount, MN 55068","(651) 829-2145","https://locations.noodles.com/mn/rosemount/15067-canada-avenue-w.html?utm_campaign=yext&utm_medium=organic&utm_source=google","N/A","N/A","LGBTQ+ friendly"
"Rosemount Water Tower","5.0","4","Chippendale Ave W, Rosemount, MN 55068 | Located in: Holiday Stationstores","N/A","N/A","N/A","N/A","N/A"
"Starbucks","4.1","437","14903 S Robert Trail, Rosemount, MN 55068","(651) 423-7112","https://www.starbucks.com/store-locator/store/8251/","N/A","N/A","N/A"
"Rosemount Market Square","4.2","249","3440, 3400 150th St W, Rosemount, MN 55068","N/A","http://www.midamericagrp.com/our-company/minnesota/managed-properties/rosemount-market-square","N/A","N/A","N/A"
"Summerfield Financial Services Inc","3.7","6","2930 146th St W UNIT 116, Rosemount, MN 55068 | Located in: Waterford Commons","(651) 344-7850","http://summerfieldfinancial.com/","N/A","N/A","Identifies as women-owned"
"Rahn Neisen & Root","5.0","2","3659 160th St E, Rosemount, MN 55068","(651) 437-3226","https://www.rahnneisenroot.net/","N/A","N/A","N/A"
"NGL Supply - Rosemount Terminal","4.3","8","15938 Canada Cir, Rosemount, MN 55068","(651) 423-4477","http://nglsupplyllc.com/proprietary_terminal/rosemount-terminal/","N/A","N/A","N/A"
"Woodlynn Tax","5.0","12","15185 Carrousel Way # 102, Rosemount, MN 55068","(651) 322-6275","N/A","N/A","N/A","N/A"
"REV Branding Industries","5.0","4","N/A","(612) 460-8080","http://www.revbrandingindustries.com/","N/A","N/A","N/A"
"ReConserve of Minnesota, Inc.","3.2","21","13420 Courthouse Blvd, Rosemount, MN 55068","(651) 438-3113","http://www.reconserve.com/","N/A","N/A","N/A"
"Rosemount City Public Works","5.0","4","2875 145th St W, Rosemount, MN 55068 | Located in: Rosemount City Hall","(651) 322-2022","N/A","N/A","N/A","N/A"
"UPS Access Point location","5.0","1","3320 151st St W, Rosemount, MN 55068 | Located in: Advance Auto Parts","(800) 786-9666","https://locations.ups.com/us/en/mn/rosemount/access-point-location-168838.html?utm_source=google&utm_medium=organic&utm_campaign=rio","N/A","N/A","N/A"
"Cub - Rosemount","4.0","350","3784 150th St W, Rosemount, MN 55068","(651) 423-0300","https://www.cub.com/sm/pickup/rsid/1651","N/A","N/A","N/A"
"MollDolls Scents","N/A","N/A","12901 Ardroe Ave, Rosemount, MN 55068","(612) 719-4621","https://molldollsscents.scentsy.us/","N/A","N/A","N/A"
"United States Postal Service","2.9","51","3050 145th St W, Rosemount, MN 55068","(800) 275-8777","https://tools.usps.com/find-location.htm?location=1379907&utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext&y_source=1_MzM3ODg2OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","N/A","N/A","N/A"
"Origination, LLC","4.0","32","13095 Courthouse Blvd, Rosemount, MN 55068","(800) 625-6079","http://originationo2d.com/","N/A","N/A","N/A"
"Rosemount TACC","5.0","1","13865 S Robert Trail, Rosemount, MN 55068","(651) 282-4953","N/A","N/A","N/A","N/A"
"Minnesota Energy Resources","2.3","46","2685 145th St W, Rosemount, MN 55068","(800) 889-9508","http://www.minnesotaenergyresources.com/","N/A","N/A","N/A"
"Tier One Landscape","1.7","7","15280 S Robert Trail, Rosemount, MN 55068","(612) 363-3603","http://www.tieronelandscape.com/","N/A","N/A","N/A"
"Trivas Financial Group","5.0","1","14670 S Robert Trail, Rosemount, MN 55068","(651) 200-2026","http://www.trivasfinancialgroup.com/","N/A","N/A","N/A"
"Dakota Awards & Engraving","5.0","23","14525 S Robert Trail #3136, Rosemount, MN 55068","(651) 322-1000","http://www.dakotaawards.com/","N/A","N/A","N/A"
"Pilgrim Promotions Inc","5.0","2","3312 151st St W, Rosemount, MN 55068","(651) 332-4185","http://pilgrimprint.com/","N/A","N/A","N/A"
"Erstom Consulting","N/A","N/A","N/A","(612) 458-5941","http://www.erstom.com/","N/A","N/A","N/A"
"Sunbelt Rentals","3.8","18","15125 S Robert Trail, Rosemount, MN 55068","(952) 229-6696","https://www.sunbeltrentals.com/location/mn/rosemount/equipment-tool-rentals/782/?utm_source=gmb&utm_medium=organic&utm_campaign=pc782&y_source=1_MTc2MDYyMTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","N/A","N/A","N/A"
"Hansen Law, PA","5.0","1","14450 S Robert Trail #102, Rosemount, MN 55068","(651) 968-8984","https://www.hansenlaw.net/","N/A","N/A","LGBTQ+ friendly"
"Rosemount Auto Service","4.7","168","14460 S Robert Trail, Rosemount, MN 55068 | Located in: bp","(651) 423-2910","http://rosemountautoservice.com/","N/A","N/A","N/A"
"Nachman International USA","5.0","1","15215 Boulder Trail, Rosemount, MN 55068","(651) 456-5666","http://nachmanusa.com/","N/A","N/A","N/A"
"Rosemount Saw & Tool","3.6","41","14760 S Robert Trail #1, Rosemount, MN 55068","(651) 423-2822","http://www.rosemountsawandtool.com/","N/A","N/A","N/A"
"Klassen Performance Group","N/A","N/A","N/A","(651) 210-6021","https://klassenperformancegroup.com/","N/A","N/A","Identifies as women-owned"
"The Maids in Minneapolis South Metro","4.9","85","14450 S Robert Trail #205, Rosemount, MN 55068","(651) 322-4414","https://www.maids.com/192/?utm_source=GMB_listing&utm_medium=organic","N/A","N/A","N/A"
"Groffs Heating & Cooling","4.8","59","3065 145th St W, Rosemount, MN 55068","(651) 423-3802","http://www.gogroffs.com/","N/A","N/A","N/A"
"Dakota Unlimited","4.3","70","15953 Biscayne Ave, Rosemount, MN 55068","(651) 423-3995","https://dakotaunlimited.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb","N/A","N/A","N/A"
"Brickstuff","4.5","2","14450 S Robert Trail #200, Rosemount, MN 55068","(651) 964-3300","http://www.brickstuff.com/","N/A","N/A","N/A"
"Subway","4.1","127","15075 Crestone Ave Suite G, Rosemount, MN 55068","(651) 322-1661","https://restaurants.subway.com/united-states/mn/rosemount/15075-crestone-ave-w?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=7052&utm_campaign=evergreen-2020&y_source=1_MTQ5MTcwNTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","N/A","N/A","N/A"
"Danielle Waage Beauty","N/A","N/A","3050 145th St W, Rosemount, MN 55068","(218) 429-5400","https://shop.senegence.com/en-us/landingpage?referralCode=KT256858D88118","N/A","N/A","N/A"
"LS Design","N/A","N/A","N/A","(612) 703-5390","http://www.lsdesignmn.com/","N/A","N/A","N/A"
"Rosemount City Planning & Znng","N/A","N/A","2875 145th St W, Rosemount, MN 55068 | Located in: Rosemount City Hall","(651) 322-2051","http://www.ci.rosemount.mn.us/","N/A","N/A","N/A"
"A Bushel and A Peck","4.5","34","14690 S Robert Trail, Rosemount, MN 55068","(651) 423-9529","http://abushelandapeckmn.com/","N/A","https://www.google.com/storefront/homepage?sfr=compass&lsf=seller:573575097,store:272668199725867456,s:l&hl=en&gl=us&sts=13","N/A"
"Public Storage","4.7","198","2745 145th St W, Rosemount, MN 55068","(651) 583-5053","https://www.publicstorage.com/self-storage-mn-rosemount/2618.html?pspid=pslocalsearch","N/A","N/A","N/A"
"Wumbo Marketing","N/A","N/A","N/A","(720) 548-0033","N/A","N/A","N/A","N/A"
"JWS Concrete","5.0","4","14504 Cobalt Ave, Rosemount, MN 55068","(612) 414-8342","http://www.jwsconcrete.com/","N/A","N/A","N/A"
"Pellicci Ace Hardware","4.7","183","14635 S Robert Trail, Rosemount, MN 55068","(651) 344-7377","http://www.acehardware.com/store-details/17422?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=17422","N/A","https://www.google.com/storefront/homepage?sfr=compass&lsf=seller:112323441,store:11783843456956959688,s:l&hl=en&gl=us&sts=13","N/A"
"Surefitters (FKA Stonebrooke Equipment)","4.2","49","15100 Business Pkwy, Rosemount, MN 55068","(952) 224-4440","https://surefitters.com/","N/A","N/A","N/A"
"Second Act Players of Rosemount","5.0","1","14375 S Robert Trail, Rosemount, MN 55068","(763) 327-5673","http://secondactplayers.com/","N/A","N/A","N/A"
"Comprehensive Industrial Maintenance Solutions","N/A","N/A","N/A","(651) 964-6776","http://www.cimsmn.com/","N/A","N/A","N/A"
"One Hour Heating & Air Conditioning","4.9","3,719","15191 Boulder Ct #1, Rosemount, MN 55068","(651) 254-8117","https://ontimeservicepros.com/heating-cooling/","N/A","N/A","N/A"
"Sentinel Assurance Group Inc.","5.0","30","2980 145th St W, Rosemount, MN 55068","(651) 237-5180","http://www.mysentinels.com/","N/A","N/A","N/A"
"Herland Mediation Services","N/A","N/A","N/A","(952) 240-4005","http://herlandmediation.com/","N/A","N/A","N/A"
"Paul Eggen - State Farm Insurance Agent","5.0","20","14450 S Robert Trail #204, Rosemount, MN 55068","(651) 423-3535","http://www.pauleggen.com/?cmpid=b6ct_blm_0001","N/A","N/A","N/A"
"Jersey Mike's Subs","4.4","183","15059 Canada Ave W, Rosemount, MN 55068","(651) 423-1982","https://www.jerseymikes.com/24028/rosemount-mn","N/A","N/A","N/A"
"B2 Design Build LLC","4.4","13","14505 S Robert Trail, Rosemount, MN 55068 | Located in: Rosemount Floral by Lucky Lola","(651) 333-9394","http://b2designbuild.com/","N/A","N/A","N/A"
"Emarie Candle Co","N/A","N/A","2810 145th St W #210, Rosemount, MN 55068","N/A","N/A","N/A","N/A","N/A"
"Thread and Clover Clothing Boutique in Rosemount, MN","5.0","11","15094 Claret Ave W, Rosemount, MN 55068","(651) 322-7620","http://www.threadandclovermn.com/","N/A","https://www.google.com/storefront/homepage?sfr=compass&lsf=seller:682605564,store:1203196174813775695,s:l&hl=en&gl=us&sts=13","Identifies as women-owned"
"Front Porch Players of Rosemount","N/A","N/A","14375 S Robert Trail, Rosemount, MN 55068","N/A","N/A","N/A","N/A","N/A"
"Provo-Petersen & Associates, P.A.","4.0","3","3050 145th St W Box 340, Rosemount, MN 55068 | Located in: United States Postal Service","(651) 227-2534","http://www.ppalawfirm.com/","N/A","N/A","N/A"
"Rosemount Floral by Lucky Lola","4.7","93","2978 145th St W, Rosemount, MN 55068","(651) 423-6300","http://www.rosemountfloral.com/?utm_source=gmb&utm_medium=gmb-website-link&utm_campaign=tf-gmb","N/A","N/A","Identifies as women-owned"
"Rosemount Greens","3.8","4","3810 145th St W, Rosemount, MN 55068","(651) 423-4636","http://www.propertyss.com/properties/rosemount-greens/","N/A","N/A","N/A"
"Sunil Ramlall, Ph.D.","N/A","N/A","N/A","(651) 210-2761","http://www.sunilramlall.com/","N/A","N/A","N/A"
"Intellifeed","3.3","13","15223 Boulder Trail, Rosemount, MN 55068","(651) 423-7220","http://intellifeed.net/","N/A","N/A","N/A"
"The Morrison","4.9","41","14589 S Robert Trail S, Rosemount, MN 55068","(651) 461-3400","https://www.movetothemorrison.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D&utm_source=GMB&utm_medium=organic","N/A","N/A","N/A"
"Epic Wraps","4.9","19","2500 158th Circle West, Rosemount, MN 55068","(612) 453-2531","http://www.epic-wraps.com/","N/A","N/A","N/A"
"The Bisque & Broth","N/A","N/A","3376 148th St W, Rosemount, MN 55068","(651) 706-9166","http://thebisqueandbroth.com/","N/A","N/A","N/A"
"Vermillion Wealth Management","N/A","N/A","15040 Canada Ave W, Rosemount, MN 55068 | Located in: Vermillion State Bank","(651) 480-4601","http://vermillionwealthmanagement.com/","N/A","N/A","N/A"
"Rosewood Crossing Apartments","3.3","6","2800 145th St W, Rosemount, MN 55068","(651) 686-0344","https://www.rwcapartments.com/","N/A","N/A","N/A"
"Rosemount Plaza Apartments","4.5","2","2900 145th St W, Rosemount, MN 55068","(651) 505-8630","https://www.thiestalle.com/properties/rosemount-plaza-rosemount.html/?utm_knock=g","N/A","N/A","N/A"
"First State Bank of Rosemount","4.6","11","3025 145th St W, Rosemount, MN 55068","(651) 423-1121","https://www.fsbrosemount.com/","N/A","N/A","N/A"
"Teri Lyn Marketing","5.0","3","N/A","(612) 440-8313","http://www.terilynmarketing.com/","N/A","N/A","N/A"
"TruNorth Gutters","4.7","3","3338 Upper 149th St W, Rosemount, MN 55068","(952) 500-0120","http://trunorthgutters.com/","N/A","N/A","N/A"
"Rosemount Community Development","N/A","N/A","2875 145th St W, Rosemount, MN 55068 | Located in: Rosemount City Hall","(651) 322-2051","http://www.ci.rosemount.mn.us/Directory.aspx?did=7","N/A","N/A","N/A"
"Farmers Insurance - Brett Peterson","5.0","2","2930 146th St W Ste 105, Rosemount, MN 55068 | Located in: Waterford Commons","(651) 322-1010","https://agents.farmers.com/mn/rosemount/brett-peterson?SourceID=AMPALFGMAG&utm_source=GMB&utm_medium=Local&y_source=1_MTU0NzQ1My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","N/A","N/A","N/A"
"Chipotle Mexican Grill","3.2","761","3390 150th St W, Rosemount, MN 55068 | Located in: Rosemount Market Square","(651) 423-6405","https://locations.chipotle.com/mn/rosemount/3390-150th-st-w?utm_source=google&utm_medium=yext&utm_campaign=yext_listings","N/A","N/A","LGBTQ+ friendly"
"Crown Rental- Rosemount","4.7","107","15213 Canada Ave W, Rosemount, MN 55068","(651) 423-7368","http://www.crownrent.com/","N/A","N/A","N/A"
"Rosewood Manor","3.0","6","14599 Cimarron Ave W, Rosemount, MN 55068","(651) 423-2299","https://tyconco.com/rosemount/","N/A","N/A","N/A"
"Sundantz Creations","3.0","1","15225 Carrousel Way, Rosemount, MN 55068","(651) 423-0123","N/A","N/A","N/A","N/A"
"3 Guys Sewing","4.3","6","15225 Carrousel Way, Rosemount, MN 55068","(651) 423-0123","http://www.3guyssewing.com/contact-us.html","N/A","N/A","N/A"
"Everprime US (Small Business Bookkeeping)","N/A","N/A","N/A","(218) 269-4979","N/A","N/A","N/A","N/A"
"CORE Home Inspections","N/A","N/A","Rosemount, MN 55068 | Located in: bp","(952) 465-6844","N/A","N/A","N/A","N/A"
"TGK Automotive","4.7","82","14805 S Robert Trail, Rosemount, MN 55068","(651) 423-4221","http://www.tgkauto.com/locations/rosemount","N/A","N/A","N/A"
"Rosemount Steeple Center","5.0","4","14375 S Robert Trail, Rosemount, MN 55068","(651) 322-6000","N/A","N/A","N/A","N/A"
"Midwest Machinery Co.","4.4","46","2925 145th St W, Rosemount, MN 55068","(651) 423-2274","https://mmcjd.com/locations/rosemount","N/A","N/A","N/A"
"Rosemount Court Apartments","N/A","N/A","3710 145th St W #101st, Rosemount, MN 55068","(651) 423-6784","N/A","N/A","N/A","N/A"
"Farmers Insurance - Zachary Burke","5.0","143","3480 Upper 149th St W Ste 101, Rosemount, MN 55068","(651) 236-9221","https://agents.farmers.com/mn/rosemount/zachary-burke?SourceID=AMPALFGMAG&utm_source=GMB&utm_medium=Local&y_source=1_MTU4MTA3NDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","N/A","N/A","N/A"
"HealthPro Chiropractic PC","5.0","152","2930 146th St W #110, Rosemount, MN 55068","(651) 463-8222","http://www.healthproclinic.com/","N/A","N/A","N/A"
"Fuji Sushi Rosemount","4.7","255","15092 Claret Ave W, Rosemount, MN 55068","(651) 423-3377","https://www.clover.com/online-ordering/fuji-sushi-rosemount","N/A","N/A","N/A"
"Waterford Commons","3.7","19","2930 146th St W, Rosemount, MN 55068","(651) 322-1117","https://www.waterfordcommons.com/","N/A","N/A","N/A"
"Caramore Crossing by D.R. Horton","4.6","9","13391 Ardroe Ave, Rosemount, MN 55068","(612) 662-2807","https://www.drhorton.com/minnesota/minneapolis/rosemount/caramore-crossing?utm_source=googlemybusiness&utm_medium=organic&utm_content=620-53&utm_campaign=GMB","N/A","N/A","N/A"
"Mister Sparky Electric & Home Security","4.9","1,715","15191 Boulder Ct #3, Rosemount, MN 55068","(651) 254-9301","https://ontimeservicepros.com/","N/A","N/A","N/A"
"Rosemount Community Center","4.6","63","13885 S Robert Trail, Rosemount, MN 55068","(651) 322-6000","http://ci.rosemount.mn.us/","N/A","N/A","N/A"
"McDonald's","3.1","1,028","15035 Canada Ave W, Rosemount, MN 55068","(651) 423-1030","https://www.mcdonalds.com/us/en-us/location/MN/ROSEMOUNT/15035-CANADA-AVE/5769.html?cid=RF:YXT:GMB::Clicks","N/A","N/A","N/A"
"Golden Oak Tree Service","4.7","25","3130 145th St W, Rosemount, MN 55068","(651) 428-3626","http://www.goldenoaktree.com/","N/A","N/A","N/A"
"Thurston Marine","N/A","N/A","Rosemount, MN 55068","(651) 400-0682","N/A","N/A","N/A","N/A"
"Morning Glory's Bakery Cafe","4.8","173","14590 S Robert Trail, Rosemount, MN 55068","(651) 322-1411","http://www.morningglorybakerycafe.com/","N/A","N/A","N/A"
"Amber Fields - Freedom Series by Pulte Homes","N/A","N/A","14925 Athlone Pl, Rosemount, MN 55068","(952) 229-0765","N/A","N/A","N/A","N/A"
"Emerald Roots Salon","5.0","33","14465 S Robert Trail, Rosemount, MN 55068","(651) 344-7334","http://emeraldrootssalon.com/","N/A","N/A","N/A"
"Wexford Place Apartments","4.5","11","15850 Chippendale Ave W, Rosemount, MN 55068","(952) 204-5803","https://www.wexfordplaceapartments.com/","N/A","N/A","N/A"
"Orchid Nails and Spa","4.4","136","14871 S Robert Trail, Rosemount, MN 55068","(651) 423-1115","http://orchidnailsmn.com/","N/A","N/A","N/A"
"O'Reilly Auto Parts","4.6","142","15070 Chippendale Ave W, Rosemount, MN 55068 | Located in: Chippendale Center","(651) 423-9699","https://locations.oreillyauto.com/mn/rosemount/autoparts-2123.html","N/A","https://www.google.com/storefront/homepage?sfr=compass&lsf=seller:135990871,store:12091420502767533814,s:l&hl=en&gl=us&sts=13","N/A"
"Trinity Business Tech","N/A","N/A","14793 Lower Endicott Way, Apple Valley, MN 55124","(612) 327-7009","N/A","N/A","N/A","N/A"
"Joy Yang Media","N/A","N/A","N/A","(952) 295-3595","http://joyyangmedia.com/","N/A","N/A","N/A"
"P & J Medical","N/A","N/A","14450 S Robert Trail #101, Rosemount, MN 55068","(651) 322-7384","N/A","N/A","N/A","N/A"
"Twin City Homes","5.0","1","3020 145th St W, Rosemount, MN 55068","(651) 423-1223","http://twincityhomes.com/","N/A","N/A","N/A"
"Style Niche Boutique","4.9","36","2930 146th St W #112, Rosemount, MN 55068 | Located in: Waterford Commons","(651) 321-7292","http://www.stylenicheboutique.com/","N/A","https://www.google.com/storefront/homepage?sfr=compass&lsf=seller:736921831,store:9862970117233545203,s:l&hl=en&gl=us&sts=13","Identifies as women-owned"
"Taxes at Home - Tax Preparation","N/A","N/A","N/A","(612) 254-8849","N/A","N/A","N/A","N/A"
