"Name","Rating","Number Of Ratings","Address","Phone Number","Website","Website to Book","Website to Search","Extra Information..."
"Papa Johns Pizza","3.6","327","3010 N Powers Blvd, Colorado Springs, CO 80922","(719) 574-7272","https://locations.papajohns.com/united-states/co/80922/colorado-springs/3010-north-powers-blvd?utm_source=gmb&utm_medium=organic&y_source=1_MTA2OTI2NzgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","N/A","N/A","N/A"
"Tacos El Amigo","4.7","516","2416 E Boulder St, Colorado Springs, CO 80909","(719) 434-0371","https://themenustar6.com/webspace/menus.php?code=ordertacoselamigo.com","N/A","N/A","N/A"
"Taco star","3.7","469","520 S Circle Dr, Colorado Springs, CO 80910","N/A","N/A","N/A","N/A","N/A"
"Golden Gyros","4.5","995","611 N Union Blvd, Colorado Springs, CO 80909","(719) 633-0707","N/A","N/A","N/A","N/A"
"El Rey Del Taco","4.1","743","522 S Academy Blvd, Colorado Springs, CO 80910","(719) 550-4272","N/A","N/A","N/A","N/A"
"Olive Garden Italian Restaurant","4.2","4,344","513 N Academy Blvd, Colorado Springs, CO 80909","(719) 591-1210","https://www.olivegarden.com/locations/co/colorado-springs/south-colorado-springs-citadel-crossing-mall/1247?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:colorado-springs-co-1247_pl:locurl_rd:1186","N/A","N/A","LGBTQ+ friendly"
"Little Caesars Pizza","4.0","358","11605 Meridian Market View, Falcon, CO 80831 | Located in: Falcon","(719) 559-1959","https://littlecaesars.com/en-us/store/11358","N/A","N/A","N/A"
"Good Grub by Taco","4.4","42","2370 E Platte Ave, Colorado Springs, CO 80909","N/A","http://goodgrubbytaco.com/","N/A","N/A","N/A"
"The Purple Onion","4.5","667","1840 N Academy Blvd, Colorado Springs, CO 80909","(719) 434-7418","http://purpleoniongrill.com/","N/A","N/A","N/A"
"Spud Melvins/Chicago Hot Dogs","3.7","93","2801 Palmer Park Blvd, Colorado Springs, CO 80909","N/A","N/A","N/A","N/A","N/A"
"Kariacos Venezuelan Restaurant","4.8","149","1169 N Circle Dr, Colorado Springs, CO 80909","(719) 351-2190","https://kariacos.square.site/","N/A","N/A","N/A"
"Steak & Bake","3.9","97","750 Citadel Dr E # 1096, Colorado Springs, CO 80909 | Located in: The Citadel Mall","(719) 570-1101","N/A","N/A","N/A","N/A"
"Perkins Restaurant & Bakery","4.1","2,529","3295 E Platte Ave, Colorado Springs, CO 80909","(719) 633-8962","https://perkinsrestaurants.com/locations/us/co/colorado-springs/3295-e-platte-ave","N/A","N/A","N/A"
"Maria's Taco Shop","4.4","549","2812 E Pikes Peak Ave, Colorado Springs, CO 80909 | Located in: Park Hill Shopping Center","(719) 471-4525","N/A","N/A","N/A","N/A"
"La Carreta Mexican Restaurant","4.0","515","35 Iowa Ave, Colorado Springs, CO 80909","(719) 477-1157","https://lacarretamexicantogo.com/","N/A","N/A","N/A"
"Aroi Thai Food","4.4","343","1025 N Academy Blvd, Colorado Springs, CO 80909","(719) 247-8471","https://www.aroithaifood.com/","N/A","N/A","N/A"
"Quijotes Mexican Grill","4.4","1,761","208 N Union Blvd, Colorado Springs, CO 80909","(719) 313-9127","http://www.coloradomenu.com/quijotes-mexican-grill-menu/","N/A","N/A","N/A"
"El Poblano Mobile","4.3","454","230 N Chelton Rd, Colorado Springs, CO 80909","(719) 209-4385","N/A","N/A","N/A","N/A"
"Yolis kitchen taco truck","4.8","168","2345 N Academy Blvd, Colorado Springs, CO 80909 | Located in: Plaza 2300","(719) 309-7306","N/A","N/A","N/A","N/A"
"China Village","4.3","1,409","203 N Union Blvd, Colorado Springs, CO 80909","(719) 475-8299","N/A","N/A","N/A","N/A"
"New Panda 2","4.2","728","1625 N Union Blvd, Colorado Springs, CO 80909","(719) 574-8336","http://www.newpandachinese.com/","N/A","N/A","N/A"
"Kang Nam Restaurant","4.6","445","2917 Galley Rd, Colorado Springs, CO 80909","(719) 591-7764","https://www.kangnamrestaurantcos.com/","N/A","N/A","N/A"
"PEAK 31 @ Union Station","4.3","530","2419 N Union Blvd, Colorado Springs, CO 80909 | Floor 1 · Audubon Shopping Center","(719) 227-7168","http://www.peak31csprings.com/","N/A","N/A","LGBTQ+ friendly"
"El Rey Del Taco 2","4.6","844","3878 Maizeland Rd, Colorado Springs, CO 80909 | Floor 1 · Maizeland Moors Shopping Center","(719) 418-2708","N/A","N/A","N/A","N/A"
"Tacos Del Gordo","4.7","116","4701 N Academy Blvd, Colorado Springs, CO 80918","(719) 375-0452","http://tacodelgordo.com/","N/A","N/A","N/A"
"Chiltepin Mexican Grill","4.5","90","3855 Astrozon Blvd, Colorado Springs, CO 80916","(719) 390-0513","N/A","N/A","N/A","N/A"
"Short Stop Burgers","3.9","279","5819 Palmer Park Blvd, Colorado Springs, CO 80915 | Located in: Powers Center","(719) 444-8428","https://shortstopburgers.business.site/","N/A","N/A","N/A"
"Las Tortugas Colorado Springs","3.9","75","3001 S Academy Blvd, Colorado Springs, CO 80916 | Located in: Mission Trace","(719) 344-8177","https://www.lastortugas.com/","N/A","N/A","N/A"
"Albertaco's Mexican Food","3.7","1,467","5710 S U.S. Hwy 85 87, Colorado Springs, CO 80911","(719) 393-1687","https://albertacos.net/menu","N/A","N/A","N/A"
"Roll Up","4.7","825","301 Main St, Colorado Springs, CO 80911","(719) 351-0646","http://rollupcos.com/","N/A","N/A","N/A"
"Champs Chicken","3.9","21","23580 CO-94, Calhan, CO 80808 | Located in: Fuel B's Inc","(719) 683-7330","https://champschicken.com/locations/fuel-b-s-kahlon-calhan-co/","N/A","N/A","N/A"
"East Dragon Chinese Restaurant","4.2","446","505 Security Blvd, Colorado Springs, CO 80911","(719) 390-1137","https://eastdragoncolorodo.kwickmenu.com/","N/A","N/A","N/A"
"3 Margaritas Co. Springs / Fountain","4.3","1,794","2 Widefield Blvd, Colorado Springs, CO 80911","N/A","http://3margaritasfountain.com/","N/A","N/A","N/A"
"Julie's Kitchen","4.6","552","3750 Astrozon Blvd, Colorado Springs, CO 80910","(719) 596-4019","https://m.facebook.com/Julies-Kitchen-Colorado-Springs-1316043748422112/","N/A","N/A","N/A"
"Club Tilt & Grill Featuring Patty's Soul Food Kitchen","4.3","314","3744 Astrozon Blvd, Colorado Springs, CO 80910 | Floor 1 · Town & Country Realty Inc","(719) 694-8698","http://www.clubtiltandgrill.com/","N/A","N/A","N/A"
"Garbanzo Mediterranean Fresh","4.2","776","3779 Bloomington St, Colorado Springs, CO 80922 | Located in: First & Main Town Center","(719) 573-1300","http://www.eatgarbanzo.com/","N/A","N/A","N/A"
"Charleys Cheesesteaks","3.8","54","1030 Stewart Ave Bldg 2017, Colorado Springs, CO 80914 | Floor 1 · Peterson Base Exchange","(719) 325-5151","https://www.charleys.com/locations/peterson-afb/","N/A","N/A","N/A"
"Fort Carson Culinary Outpost","2.9","12","2061 Barkeley Ave, Fort Carson, CO 80913","N/A","N/A","N/A","N/A","N/A"
"Daniel's Taco Shop","4.5","866","6815 Space Village Ave, Colorado Springs, CO 80915","(719) 574-2992","https://danielstacoshop.com/","N/A","N/A","Identifies as Latino-owned"
"La Michoacana carnitas","4.8","6","4351 Airport Rd, Colorado Springs, CO 80916","(949) 524-2048","N/A","N/A","N/A","N/A"
"Ghost Kitchens","3.8","39","1365 Thule Street, Colorado Springs, CO 80914","N/A","https://mentumqr.com/v2/fortpeterson/order","N/A","N/A","N/A"
"Bubba's 33","4.4","6,389","5807 Constitution Ave, Colorado Springs, CO 80915","(719) 576-1223","https://www.bubbas33.com/locations/colorado/colorado-springs?utm_source=listing&utm_medium=search","N/A","N/A","N/A"
"Colorado Pizza & Sports Grill","4.4","35","260 Glasgow Ave, Peterson Space Force Base, CO 80914 | Located in: The Hub","(719) 574-8863","https://www.21fss.com/about/colorado-pizza/","N/A","N/A","N/A"
"The Airplane Restaurant","4.1","3,068","1665 Newport Rd, Colorado Springs, CO 80916","(719) 570-7656","http://theairplanerestaurant.com/","N/A","N/A","N/A"
"Grinder Sandwich Co.","4.7","401","656 Peterson Rd, Colorado Springs, CO 80915 | Located in: Peterson Road Shops","N/A","https://grindersandwiches.com/","N/A","N/A","LGBTQ+ friendly"
"Tlaquepaque","4.5","1,202","911 N Murray Blvd, Colorado Springs, CO 80915 | Located in: Murray Plaza","(719) 597-4727","N/A","N/A","N/A","N/A"
"The Thai Guy Restaurant","4.3","212","6821 Space Village Ave, Colorado Springs, CO 80915","(719) 573-8054","https://www.facebook.com/pages/Thai-Guy/167310366694398","N/A","N/A","N/A"
"Albertacos","3.8","1,010","4494 Austin Bluffs Pkwy, Colorado Springs, CO 80918 | Located in: Market Center","(719) 534-9412","https://albertacos.net/location","N/A","N/A","N/A"
"Marco's Pizza","3.9","239","1580 Space Center Dr, Colorado Springs, CO 80915 | Located in: Palmer Park Supercenter","(719) 573-8842","https://www.marcos.com/","N/A","N/A","N/A"
"Xiang's Kitchen","3.9","626","5935 Constitution Ave, Colorado Springs, CO 80915","(719) 573-8899","https://www.smorefood.com/order-online/xiangs-kitchen-colorado-springs-80915-f4a3lg3n?utm_source=gmb&utm_medium=website","N/A","N/A","N/A"
"Dragon King Chinese Kitchen","4.5","345","5825 Galley Rd, Colorado Springs, CO 80915","(719) 591-6130","https://www.dragonkinggalley.com/","N/A","N/A","N/A"
"MOON STAR II","3.9","667","5873 Palmer Park Blvd, Colorado Springs, CO 80915 | Floor 1 · Powers Center","(719) 380-9333","http://moonstartwo.org/","N/A","N/A","LGBTQ+ friendly"
"Mi Mexico Restaurant","4.4","2,105","3956 N Academy Blvd, Colorado Springs, CO 80917","(719) 591-7722","https://www.mimexicorestaurant.com/","N/A","N/A","N/A"
"PHO HANCOCK ASIAN CUISINE","4.0","577","3071 S Academy Blvd, Colorado Springs, CO 80916 | Located in: Mission Trace","(719) 391-0148","https://www.phohancock.com/","N/A","N/A","N/A"
"Erickberto's","4.0","232","5660 Barnes Rd Suite #180, Colorado Springs, CO 80917","(719) 960-6022","N/A","N/A","N/A","N/A"
"Chicken Salad Chick","4.5","166","5660 Barnes Rd Unit 108, Colorado Springs, CO 80917","(719) 358-8121","https://chickensaladchick.com/colorado-springs-co-barnes","N/A","N/A","N/A"
"Back on the Boulevard","4.3","254","2855 N Murray Blvd, Colorado Springs, CO 80917","(719) 358-9717","http://www.backontheboulevard.com/","N/A","N/A","N/A"
"Taste of Philly N.Academy and N.Carefree","4.5","1,332","3552 N Academy Blvd, Colorado Springs, CO 80917","(719) 638-0020","https://www.toasttab.com/taste-of-philly-north-academy/v3/?mode=fulfillment","N/A","N/A","N/A"
"It’s Taco Time","4.3","51","Colorado Springs, CO 80917","(719) 360-7675","N/A","N/A","N/A","N/A"
"Mauricio's Taco Shop","4.1","686","3659 Austin Bluffs Pkwy, Colorado Springs, CO 80918 | Located in: Austin Bluffs Shopping center","(719) 598-0843","http://mauriciostacoshop.net/","N/A","N/A","N/A"
"Greek Cafe","4.6","311","8844 N Union Blvd, Colorado Springs, CO 80920 | Located in: Union Town Center","(719) 282-4118","N/A","N/A","N/A","N/A"
"Wingstop","3.8","742","6056 Stetson Hills Blvd, Colorado Springs, CO 80922 | Floor 1 · Ridgeview Marketplace","(719) 597-9464","https://www.wingstop.com/location/wingstop-143-colorado-springs-co-80922/menu?y_source=1_NTUyMDY0ODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","N/A","N/A","N/A"
"LongHorn Steakhouse","4.4","4,161","5707 Barnes Rd, Colorado Springs, CO 80917","(719) 597-6352","https://www.longhornsteakhouse.com/locations/co/colorado-springs/colorado-springs/5568?cmpid=br:lh_ag:ie_ch:loc_ca:LHGMB_sn:gmb_gt:colorado-springs-co-5568_pl:locurl_rd:1492","N/A","N/A","LGBTQ+ friendly"
"Five Star Food Stop","4.9","85","4621 Austin Bluffs Pkwy suite A, Colorado Springs, CO 80918","(719) 465-2057","https://fivestarfoodstop.com/","N/A","N/A","N/A"
"Tokyo Joe's - Powers","4.1","551","5697 Barnes Rd #120, Colorado Springs, CO 80917","(719) 313-5386","http://tokyojoes.com/","N/A","N/A","N/A"
"Firehouse Subs Austin Bluffs","4.0","493","3604 Austin Bluffs Pkwy Ste 110, Colorado Springs, CO 80918 | Located in: Marketplace At Austin Bluffs","(719) 599-4386","http://order.firehousesubs.com/menu?service-mode=TAKEOUT&store-number=862","N/A","N/A","N/A"
"Carefree Bar & Grill","4.5","321","3535 N Carefree Cir, Colorado Springs, CO 80917","(719) 344-5515","https://www.carefreebarandgrillco.com/","N/A","N/A","Identifies as women-owned"
"Fiesta Jalisco","4.3","859","Ridgeview Marketplace, 6074 Stetson Hills Blvd, Colorado Springs, CO 80917 | Located in: Ridgeview Marketplace","(719) 573-8813","https://www.coloradosprings.fiestajaliscoco.com/","N/A","N/A","N/A"
"Phở Express #1","4.4","237","5697 Barnes Rd #110, Colorado Springs, CO 80917 | Located in: Parry's Sliceria & Taps","(719) 937-7461","https://www.phoexpress1.com/","N/A","N/A","N/A"
"Las Palmitas Mexican restaurant #2","4.2","623","3589 N Carefree Cir, Colorado Springs, CO 80917","(719) 596-1170","http://www.laspalmitasrestaurantes.com/","N/A","N/A","N/A"
"Wade's Cafe","4.4","1,998","3504 N Academy Blvd, Colorado Springs, CO 80917","(719) 596-8122","https://www.wades-cafe.com/","N/A","N/A","LGBTQ+ friendly"
"Jose Muldoon's","4.0","1,993","5710 S Carefree Cir, Colorado Springs, CO 80917","(719) 574-5673","https://josemuldoons.com/carefree/?utm_source=google&utm_medium=organic&utm_campaign=gbp","N/A","N/A","N/A"
"Lee's Sandwiches Colorado Springs","4.5","155","5660 Barnes Rd, Colorado Springs, CO 80917","(719) 344-9344","https://leesandwiches.com/","N/A","N/A","LGBTQ+ friendly","Identifies as veteran-owned","Identifies as women-owned","Identifies as Asian-owned"
"Smoothie King","4.2","40","1358 Interquest Pkwy Suite 170, Colorado Springs, CO 80921","(719) 505-7025","https://locations.smoothieking.com/ll/us/co/colorado-springs/1358-interquest-parkway/","N/A","N/A","N/A"
"Nom Nom Thai","4.7","400","3303 N Academy Blvd, Colorado Springs, CO 80917","(719) 573-7004","https://www.nomnomthaico.com/","N/A","N/A","N/A"
"La Isla del Encanto","5.0","4","N Academy Blvd, Colorado Springs, CO 80918","(719) 210-8733","https://www.facebook.com/groups/607002254127328/?ref=share","N/A","N/A","N/A"
"Marco's - Austin Bluffs","4.0","407","4492 Austin Bluffs Pkwy, Colorado Springs, CO 80918 | Located in: Market Center","(719) 203-3599","https://www.marcos.com/","N/A","N/A","LGBTQ+ friendly"
"Rong Cheng Chinese Restaurant","4.2","517","6938 N Academy Blvd, Colorado Springs, CO 80918 | Floor 1 · Woodman Valley S.C.","(719) 594-4849","https://rongchengdelivery.com/","N/A","N/A","N/A"
"Narai Thai Restaurant","4.5","650","805 Village Center Dr, Colorado Springs, CO 80919 | Located in: Safeway","(719) 531-5175","http://www.narai-thai.com/","N/A","N/A","N/A"
"Marco's Pizza - Northwest COS","3.9","173","4935 Centennial Blvd D, Colorado Springs, CO 80919","(719) 598-0464","http://www.marcos.com/","N/A","N/A","N/A"
"On The Border Mexican Grill & Cantina - Colorado Springs","4.0","756","7695 N Academy Blvd, Colorado Springs, CO 80920 | Located in: Chapel Hills","(719) 645-7560","https://www.ontheborder.com/locations/colorado-springs","N/A","N/A","N/A"
"Lazy Dog Restaurant & Bar","4.4","2,906","7605 N Academy Blvd, Colorado Springs, CO 80920 | Located in: Chapel Hills","(719) 445-5851","https://lazydogrestaurants.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ","N/A","N/A","N/A"
"Modern Market Eatery","4.1","1,045","1765 Briargate Pkwy Suite 807, Colorado Springs, CO 80920 | Located in: The Promenade Shops At Briargate","(719) 215-4300","https://modernmarket.com/?utm_source=GMB&utm_medium=local&utm_campaign=briargate","N/A","N/A","N/A"
"Firehouse Subs North Academy","4.1","601","7543 N Academy Blvd, Colorado Springs, CO 80920","(719) 500-8998","http://order.firehousesubs.com/menu?service-mode=TAKEOUT&store-number=781","N/A","N/A","N/A"
"Zoup!","4.0","429","1254 Interquest Pkwy, Colorado Springs, CO 80921 | Located in: Interquest Marketplace","(719) 359-4400","https://restaurants.zoup.com/co/colorado-springs/1254-interquest-parkway?y_source=1_NjIxMTk2MTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","N/A","N/A","N/A"
"Gyros Plus at Chapel Hills","4.5","221","1710 Briargate Blvd Ste 457, Colorado Springs, CO 80920 | Floor 1 · Chapel Hills Mall","(719) 599-4565","N/A","N/A","N/A","LGBTQ+ friendly"
"Costa Vida","4.2","1,149","122 Tracker Dr, Colorado Springs, CO 80921","(719) 481-6782","https://www.costavida.com/locations/colorado-springs","N/A","N/A","N/A"
"Cheddar's Scratch Kitchen","4.1","3,163","1140 Interquest Pkwy, Colorado Springs, CO 80921","(719) 262-7100","https://www.cheddars.com/locations/location-search?cmpid=br:csk_ag:ie_ch:loc_ca:CSKGMB_sn:gmb_gt:colorado-springs-co-9007_pl:locurl_rd:1176","N/A","N/A","LGBTQ+ friendly"
"PJ Fresh Marketplace","N/A","N/A","15455 Terrazzo Dr, Monument, CO 80921 | Located in: Pilot Travel Center","(719) 487-7555","http://pilotflyingj.com/","N/A","N/A","N/A"
"Dog Haus","4.4","1,529","162 Tracker Dr, Colorado Springs, CO 80921","(719) 488-4278","http://coloradosprings.doghaus.com/","N/A","N/A","LGBTQ+ friendly"
"Vaqueros Mexican Restaurant 3","4.3","528","261 Kaycee Case Pl, Colorado Springs, CO 80921","(719) 375-5037","https://www.kayceecase.vaquerosmexican.net/","N/A","N/A","N/A"
"Mugi Ramen and Poke","4.7","242","122 Tracker Dr #120, Colorado Springs, CO 80921","(719) 374-5978","http://www.mugifoodcoloradosprings.com/","N/A","N/A","N/A"
"Omelets Etc.","4.6","903","1337 Interquest Pkwy, Colorado Springs, CO 80921","(719) 308-2885","N/A","N/A","N/A","N/A"
"Vitality Bowls Colorado Springs","4.6","109","13492 Bass Pro Dr Suite 120, Colorado Springs, CO 80921","(719) 639-7150","https://vitalitybowls.com/locations/colorado-springs/??utm_source=google&utm_medium=gmb&utm_campaign=gmbweblink","N/A","N/A","N/A"
"Ivy's Chinese","4.3","514","11550 Ridgeline Dr #120, Colorado Springs, CO 80921","(719) 487-8088","http://ivyscafevoyager.com/","N/A","N/A","N/A"
"Tao's Oriental Cuisine","4.3","251","13888 Gleneagle Dr, Colorado Springs, CO 80921","(719) 481-3418","http://www.taoscuisine.com/","N/A","N/A","N/A"
"Rock Bottom Restaurant & Brewery","4.0","1,361","3316 Cinema Point, Colorado Springs, CO 80922 | Located in: First & Main Town Center","(719) 550-3586","https://rockbottom.com/locations/colorado-springs/?utm_source=google_my_business&utm_medium=map_organic_search&utm_campaign=location&utm_content=website_button","N/A","N/A","N/A"
"On The Border Mexican Grill & Cantina - E. Colorado Springs","4.0","1,366","5832 Barnes Rd, Colorado Springs, CO 80922","(719) 645-7340","https://www.ontheborder.com/locations/e-colorado-springs/","N/A","N/A","N/A"
"Mici Italian","4.3","310","3707 Bloomington St, Colorado Springs, CO 80922 | Located in: Springs Ranch Shopping Center","(719) 370-0777","https://miciitalian.com/","N/A","N/A","LGBTQ+ friendly"
"Einstein Bros. Bagels","4.2","748","2848 N Powers Blvd, Colorado Springs, CO 80922","(719) 573-7606","https://locations.einsteinbros.com/us/co/colorado-springs/2848-n-powers-blvd?y_source=1_OTA0OTgwOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","N/A","N/A","N/A"
"Teriyaki Madness","3.2","255","7895 Silicon Hts Unit 150, Colorado Springs, CO 80922","(719) 900-5848","https://teriyakimadness.com/locations/co-colorado-springs-cimarron-hills/","N/A","N/A","N/A"
"L&L Hawaiian Barbecue","4.2","1,814","5850 Barnes Rd, Colorado Springs, CO 80922","(719) 570-1888","https://www.hawaiianbarbecue.com/locations/colorado-springs/","N/A","N/A","N/A"
"Texas Roadhouse","4.4","6,863","3120 N Powers Blvd, Colorado Springs, CO 80922","(719) 638-8050","https://www.texasroadhouse.com/locations/colorado/colorado-springs-powers-blvd?utm_source=listing&utm_medium=search","N/A","N/A","N/A"
"Tropical Smoothie Cafe","4.0","106","7895 Silicon Hts Suite 100, Colorado Springs, CO 80939","(719) 358-7619","https://locations.tropicalsmoothiecafe.com/co/colorado-springs/7895-silicon-heights-road?y_source=1_Mjg2NTEwNDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","N/A","N/A","N/A"
"Kanpai Japanese Restaurant and Sushi","4.4","657","5935 Dublin Blvd #100, Colorado Springs, CO 80923","(719) 574-2412","http://kanpaisprings.com/","N/A","N/A","N/A"
"Umi Sushi","4.4","285","7636 Dublin Blvd Suite 150&160, Colorado Springs, CO 80923 | Located in: The Shoppes at Indigo Ranch","(719) 886-5515","http://www.umisushics.com/","N/A","N/A","N/A"
"China Menu Restaurant","4.0","58","9673 Prominent Point #110, Colorado Springs, CO 80924","(719) 282-0669","http://www.chinamenuco.com/","N/A","N/A","N/A"
"Colorado Springs Pies and Grinders","4.5","546","5490 Powers Center Point #180, Colorado Springs, CO 80920","(719) 282-6888","http://piesandgrinders.com/","N/A","N/A","LGBTQ+ friendly"
"Ninja Bowl","4.4","292","9697 Prominent Point #116, Colorado Springs, CO 80924","(719) 313-9055","https://www.ninjabowlxpress.com/","N/A","N/A","N/A"
"Javalato Gelato & Cafe","4.4","498","9697 Prominent Point Suite #156, Colorado Springs, CO 80924","(719) 424-7929","http://www.javalato.net/","N/A","N/A","LGBTQ+ friendly"
"Good 2 Go","3.4","105","711 E Fillmore St, Colorado Springs, CO 80907","(719) 501-1791","http://good2gostores.com/","N/A","N/A","N/A"
"Gunther Toody's","4.4","3,389","5794 Palmer Park Blvd #1511, Colorado Springs, CO 80915","(719) 570-1952","https://www.gunthertoodys.com/","N/A","N/A","N/A"
"Firehouse Subs North Powers","4.0","424","5915 Dublin Blvd #120, Colorado Springs, CO 80923","(719) 593-1099","http://order.firehousesubs.com/menu?service-mode=TAKEOUT&store-number=1294","N/A","N/A","N/A"
"Hardee’s","4.0","596","205 Paul Bunyan Dr NW, Bemidji, MN 56601","(218) 751-8823","https://locations.hardees.com/mn/bemidji/205-paul-bunyan-dr-nw","N/A","N/A","N/A"
"Garden Cafe Chinese Restaurant","3.5","227","1580 Space Center Dr, Colorado Springs, CO 80915 | Located in: Palmer Park Supercenter","(719) 622-8622","N/A","N/A","N/A","N/A"
"Super Mega Dilla","1.0","10","6450 S U.S. Hwy 85 87, Fountain, CO 80817 | Located in: The Mart","(888) 306-3295","N/A","N/A","N/A","N/A"
"Buffalo Wild Wings Go","N/A","N/A","6877 Mesa Ridge Pkwy suite a, Fountain, CO 80817","(719) 653-1447","https://www.buffalowildwings.com/","N/A","N/A","N/A"
